Variable,Frequency_Index,Period_Days,Power_Spectral_Density,Log10_Period_Days,Log10_Power
CAPE,356,43.99439776,70222928.17,1.643397377,7.846478935
CAPE,357,43.87150838,240188487.9,1.642182566,8.380552188
CAPE,358,43.74930362,141996254,1.640971145,8.152276888
CAPE,359,43.62777778,314982974.5,1.639763092,8.49828708
CAPE,360,43.50692521,105285852.3,1.638558391,8.022370017
CAPE,361,43.38674033,97874198.72,1.637357023,7.99066822
CAPE,362,43.26721763,334836485.4,1.636158968,8.524832775
CAPE,363,43.14835165,177071614,1.634964209,8.248148946
CAPE,364,43.03013699,25577655.15,1.633772729,7.407860728
CAPE,365,42.91256831,212545447.6,1.632584508,8.327451807
CAPE,366,42.79564033,17080338.63,1.631399529,7.232496477
CAPE,367,42.67934783,65751478.93,1.630217774,7.817905526
CAPE,368,42.56368564,10469934.97,1.629039227,7.019943984
CAPE,369,42.44864865,16454208.09,1.627863869,7.216276985
CAPE,370,42.33423181,92518814.19,1.626691684,7.966230058
CAPE,371,42.22043011,113569872.6,1.625522653,8.055263139
CAPE,372,42.10723861,232906780.9,1.624356761,8.367182133
CAPE,373,41.99465241,27004671.47,1.623193991,7.431438898
CAPE,374,41.88266667,59422415.1,1.622034325,7.773950299
CAPE,375,41.7712766,71416833.59,1.620877748,7.853800591
CAPE,376,41.66047745,605488707.9,1.619724243,8.782106048
CAPE,377,41.55026455,121841007.6,1.618573793,8.085793482
CAPE,378,41.44063325,34817547.2,1.617426383,7.541798173
CAPE,379,41.33157895,71387126.99,1.616281996,7.853619904
CAPE,380,41.22309711,138608266,1.615140617,8.141789131
CAPE,381,41.11518325,200048816.9,1.61400223,8.301135987
CAPE,382,41.0078329,293568081.4,1.612866819,8.467708835
CAPE,383,40.90104167,80538347.83,1.611734369,7.906002716
CAPE,384,40.79480519,6104512.341,1.610604864,6.785650976
CAPE,385,40.68911917,143499432.8,1.609478288,8.156850184
CAPE,386,40.58397933,297826910.2,1.608354628,8.473963936
CAPE,387,40.47938144,27924479.82,1.607233868,7.445985092
CAPE,388,40.37532134,209821313.8,1.606115992,8.321849602
CAPE,389,40.27179487,16873950.42,1.605000986,7.227216769
CAPE,390,40.16879795,99711787.26,1.603888836,7.998746501
CAPE,391,40.06632653,112092238.4,1.602779526,8.049575542
CAPE,392,39.96437659,192498035,1.601673043,8.284426301
CAPE,393,39.86294416,123566749.7,1.600569371,8.091901623
CAPE,394,39.76202532,246318415.1,1.599468497,8.391496882
CAPE,395,39.66161616,115772856.5,1.598370407,8.063606749
CAPE,396,39.56171285,30774957.34,1.597275086,7.48819746
CAPE,397,39.46231156,163824723.5,1.596182521,8.214379444
CAPE,398,39.36340852,320916704.6,1.595092697,8.506392324
CAPE,399,39.265,286418906,1.594005602,8.457001682
CAPE,400,39.16708229,43701364.61,1.59292122,7.640494998
CAPE,401,39.06965174,77414567.45,1.59183954,7.888822692
CAPE,402,38.97270471,251371651.5,1.590760547,8.400316298
CAPE,403,38.87623762,146215786.4,1.589684228,8.164994264
CAPE,404,38.78024691,345448237,1.58861057,8.538382981
CAPE,405,38.68472906,208234017.3,1.58753956,8.318551678
CAPE,406,38.58968059,132677905.1,1.586471184,8.122798606
CAPE,407,38.49509804,38321952.98,1.58540543,7.583447634
CAPE,408,38.400978,166912193.8,1.584342285,8.222488065
CAPE,409,38.30731707,60575628.18,1.583281736,7.782297927
CAPE,410,38.21411192,150337741,1.582223771,8.17706802
CAPE,411,38.12135922,487328658.3,1.581168377,8.687821952
CAPE,412,38.02905569,395952907.5,1.580115541,8.597643536
CAPE,413,37.93719807,330928621.1,1.579065252,8.51973433
CAPE,414,37.84578313,250789725,1.578017496,8.399309739
CAPE,415,37.75480769,213829997.7,1.576972262,8.330068631
CAPE,416,37.66426859,66103481.27,1.575929538,7.820224332
CAPE,417,37.57416268,23530665.05,1.574889311,7.371634202
CAPE,418,37.48448687,162426396.8,1.57385157,8.21065661
CAPE,419,37.3952381,327576230,1.572816303,8.51531238
CAPE,420,37.3064133,129851510.3,1.571783497,8.113447005
CAPE,421,37.21800948,87656621.35,1.570753142,7.942784727
CAPE,422,37.13002364,41802674.02,1.569725226,7.621204063
CAPE,423,37.04245283,94693981.96,1.568699737,7.976322379
CAPE,424,36.95529412,40982901.89,1.567676663,7.612602706
CAPE,425,36.8685446,86208626.39,1.566655994,7.935550725
CAPE,426,36.78220141,63643820.4,1.565637718,7.803756241
CAPE,427,36.69626168,76842111.46,1.564621824,7.88559929
CAPE,428,36.61072261,61840935.29,1.563608301,7.791276049
CAPE,429,36.5255814,607008.2853,1.562597138,5.783194619
CAPE,430,36.44083527,283869641.8,1.561588323,8.45311895
CAPE,431,36.35648148,598391886.5,1.560581846,8.776985696
CAPE,432,36.27251732,291105169.1,1.559577697,8.464049917
CAPE,433,36.18894009,96249142.26,1.558575864,7.983396868
CAPE,434,36.10574713,52615400.59,1.557576336,7.721112881
CAPE,435,36.02293578,22323656.57,1.556579104,7.348765333
CAPE,436,35.94050343,63769561.1,1.555584156,7.804613428
CAPE,437,35.85844749,179901027.8,1.554591483,8.255033644
CAPE,438,35.77676538,78907097.56,1.553601073,7.897116069
CAPE,439,35.69545455,66507910.09,1.552612917,7.822873301
CAPE,440,35.61451247,145640609.7,1.551627004,8.163282488
CAPE,441,35.53393665,405108970.5,1.550643324,8.60757186
CAPE,442,35.4537246,300944830.1,1.549661867,8.478486887
CAPE,443,35.37387387,65509939.53,1.548682623,7.816307199
CAPE,444,35.29438202,61151196,1.547705582,7.786404955
CAPE,445,35.21524664,89996698.97,1.546730734,7.95422658
CAPE,446,35.13646532,16040706.7,1.54575807,7.205223498
